hour,minutesPlayed
0,12749.594566666667
1,11593.384216666667
2,10936.3261
3,11250.84175
4,12597.375166666667
5,10967.717633333334
6,10056.0065
7,8723.3664
8,6882.467966666667
9,6171.745233333333
10,5264.44615
11,3326.6941166666666
12,2459.779916666667
13,2605.656033333333
14,3007.1206
15,4161.421866666667
16,4788.28945
17,6477.99105
18,8122.385216666667
19,8916.352283333334
20,8277.163566666666
21,8731.306516666667
22,11835.198533333334
23,13834.5385
